Período,Incremento Índice Inflación
2016-01-01,102.24166666666666
2016-02-01,105.04166666666666
2016-03-01,107.65833333333332
2016-04-01,110.65833333333332
2016-05-01,113.35833333333332
2016-06-01,116.09999999999998
2016-07-01,118.58333333333331
2016-08-01,121.15833333333332
2016-09-01,123.64166666666665
2016-10-01,125.94166666666665
2016-11-01,128.475
2016-12-01,130.88333333333333
2017-01-01,133.31666666666666
2017-02-01,135.91666666666666
2017-03-01,138.52499999999998
2017-04-01,140.8083333333333
2017-05-01,143.1333333333333
2017-06-01,145.4083333333333
2017-07-01,147.84999999999997
2017-08-01,150.17499999999995
2017-09-01,152.26666666666662
2017-10-01,154.57499999999996
2017-11-01,156.6333333333333
2017-12-01,159.0583333333333
2018-01-01,161.42499999999998
2018-02-01,163.67499999999998
2018-03-01,166.10833333333332
2018-04-01,168.86666666666665
2018-05-01,171.64166666666665
2018-06-01,174.62499999999997
2018-07-01,177.3083333333333
2018-08-01,180.24999999999997
2018-09-01,183.61666666666665
2018-10-01,186.94166666666663
2018-11-01,190.1333333333333
2018-12-01,193.1083333333333
2019-01-01,196.37499999999997
2019-02-01,199.44999999999996
2019-03-01,202.84999999999997
2019-04-01,206.2333333333333
2019-05-01,209.2833333333333
2019-06-01,212.1583333333333
2019-07-01,214.81666666666663
2019-08-01,217.70833333333331
2019-09-01,220.46666666666664
2019-10-01,223.06666666666663
2019-11-01,225.79166666666663
2019-12-01,228.42499999999995
2020-01-01,231.07499999999996
2020-02-01,234.05833333333328
2020-03-01,236.87499999999994
2020-04-01,240.23333333333326
2020-05-01,244.18333333333325
2020-06-01,247.8916666666666
2020-07-01,251.48333333333326
2020-08-01,255.23333333333326
2020-09-01,258.8416666666666
2020-10-01,262.75833333333327
2020-11-01,266.4666666666666
2020-12-01,270.0416666666666
2021-01-01,273.7166666666666
2021-02-01,277.48333333333323
2021-03-01,281.3416666666666
2021-04-01,285.33333333333326
2021-05-01,289.5166666666666
2021-06-01,293.79999999999995
2021-07-01,297.8916666666666
2021-08-01,301.8916666666666
2021-09-01,305.9416666666666
2021-10-01,309.83333333333326
2021-11-01,314.03333333333325
2021-12-01,318.3083333333332
2022-01-01,322.56666666666655
2022-02-01,326.7583333333332
2022-03-01,331.23333333333323
2022-04-01,335.58333333333326
2022-05-01,340.44999999999993
